
Date,Close,Prev_Close,Diff,up_down
2025-05-16,454.27,,,DOWN
2025-05-19,458.87,454.27,4.600000000000023,UP
2025-05-20,458.17,458.87,-0.6999999999999886,DOWN
2025-05-21,452.57,458.17,-5.600000000000023,DOWN
2025-05-22,454.86,452.57,2.2900000000000205,UP
2025-10-08,524.85,454.86,69.99000000000001,UP
2025-10-09,523.98,524.85,-0.8700000000000045,DOWN
2025-10-10,528.57,523.98,4.590000000000032,UP
2025-10-11,517.35,528.57,-11.220000000000027,DOWN
2025-10-12,515.74,517.35,-1.6100000000000136,DOWN
2025-10-13,519.71,515.74,3.9700000000000273,UP
2025-10-14,517.95,519.71,-1.759999999999991,DOWN
2025-10-15,514.6,517.95,-3.3500000000000227,DOWN
2025-10-16,511.46,514.6,-3.140000000000043,DOWN
2025-10-17,507.03,511.46,-4.430000000000007,DOWN
2025-10-18,510.15,507.03,3.1200000000000045,UP
2025-10-19,509.23,510.15,-0.9199999999999591,DOWN
2025-10-20,514.45,509.23,5.220000000000027,UP
2025-10-21,517.93,514.45,3.4799999999999045,UP
2025-10-22,508.45,517.93,-9.479999999999961,DOWN
2025-10-23,510.02,508.45,1.5699999999999932,UP
2025-10-24,509.04,510.02,-0.9799999999999613,DOWN
2025-10-25,515.36,509.04,6.319999999999993,UP
2025-10-26,509.9,515.36,-5.460000000000036,DOWN
2025-10-27,501.01,509.9,-8.889999999999986,DOWN
2025-10-28,500.37,501.01,-0.6399999999999864,DOWN
2025-10-29,498.41,500.37,-1.9599999999999795,DOWN
2025-10-30,498.2,498.41,-0.21000000000003638,DOWN
2025-10-31,495.0,498.2,-3.1999999999999886,DOWN
2025-11-01,507.97,495.0,12.970000000000027,UP
2025-11-02,505.35,507.97,-2.6200000000000045,DOWN
2025-11-03,505.12,505.35,-0.2300000000000182,DOWN
2025-11-04,506.69,505.12,1.5699999999999932,UP
2025-11-05,509.64,506.69,2.9499999999999886,UP
2025-11-06,506.74,509.64,-2.8999999999999773,DOWN
2025-11-07,502.04,506.74,-4.699999999999989,DOWN
2025-11-08,504.26,502.04,2.2199999999999704,UP
2025-11-09,507.23,504.26,2.9700000000000273,UP
2025-11-10,504.24,507.23,-2.990000000000009,DOWN
2025-11-11,505.72,504.24,1.4800000000000182,UP
2025-11-12,509.77,505.72,4.0499999999999545,UP
2025-11-13,517.1,509.77,7.330000000000041,UP
2025-11-14,520.17,517.1,3.0699999999999363,UP
2025-11-15,522.48,520.17,2.310000000000059,UP
2025-11-16,520.58,522.48,-1.8999999999999773,DOWN
2025-11-17,529.24,520.58,8.659999999999968,UP
2025-11-18,521.77,529.24,-7.470000000000027,DOWN
2025-11-19,522.04,521.77,0.2699999999999818,UP
2025-11-20,520.84,522.04,-1.1999999999999318,DOWN
